iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
2,True,False,True,
3,True,True,False,
5,False,,,130444
2,True,True,False,
2,True,True,False,
2,True,True,False,
4,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,True,False,
5,False,,,131000
2,True,False,True,
2,True,False,True,
5,False,,,131127
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,False,True,
4,True,True,False,
2,True,False,True,
5,False,,,131433
5,False,,,131510
5,True,True,False,
2,True,False,True,
