iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
3,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,False,143924 (0.15)
2,True,True,False,
2,True,False,True,
3,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
4,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
4,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,,144755 (no result calculated)
4,True,False,True,
2,True,False,True,
2,True,False,False,144930 (0.032)
3,True,True,False,
2,True,False,True,
2,True,False,True,
3,True,False,True,
2,True,False,True,
4,True,False,True,
2,True,False,True,
